date,duration,item,month,network,network_type
15/10/14 06:58,34.429,data,2014-11,data,data
15/10/14 06:58,13,call,2014-11,Vodafone,mobile
15/10/14 14:46,23,call,2014-11,Meteor,mobile
15/10/14 14:48,4,call,2014-11,Tesco,mobile
15/10/14 17:27,4,call,2014-11,Tesco,mobile
15/10/14 18:55,4,call,2014-11,Tesco,mobile
16/10/14 06:58,34.429,data,2014-11,data,data
16/10/14 15:01,602,call,2014-11,Three,mobile
16/10/14 15:12,1050,call,2014-11,Three,mobile
16/10/14 15:30,19,call,2014-11,voicemail,voicemail
16/10/14 16:21,1183,call,2014-11,Three,mobile
16/10/14 22:18,1,sms,2014-11,Meteor,mobile
16/10/14 22:21,1,sms,2014-11,Meteor,mobile
17/10/14 06:58,34.429,data,2014-11,data,data
17/10/14 10:53,1,sms,2014-11,Tesco,mobile
17/10/14 11:19,1,sms,2014-11,Tesco,mobile
17/10/14 11:20,1,sms,2014-11,Meteor,mobile
17/10/14 17:22,1,sms,2014-11,Vodafone,mobile
17/10/14 17:23,1,sms,2014-11,Vodafone,mobile
17/10/14 17:26,92,call,2014-11,Three,mobile
17/10/14 17:29,4,call,2014-11,Vodafone,mobile
17/10/14 17:30,375,call,2014-11,Tesco,mobile
17/10/14 17:42,1,sms,2014-11,Vodafone,mobile
17/10/14 17:44,1,sms,2014-11,Vodafone,mobile
17/10/14 17:44,1,sms,2014-11,Vodafone,mobile
17/10/14 17:44,1,sms,2014-11,Vodafone,mobile
18/10/14 06:58,34.429,data,2014-11,data,data
18/10/14 11:51,783,call,2014-11,Tesco,mobile
18/10/14 12:06,4,call,2014-11,Vodafone,mobile
18/10/14 12:06,3,call,2014-11,Vodafone,mobile
18/10/14 13:08,101,call,2014-11,Vodafone,mobile
18/10/14 13:10,1714,call,2014-11,Three,mobile
18/10/14 14:01,96,call,2014-11,voicemail,voicemail
18/10/14 18:52,1,sms,2014-11,Vodafone,mobile
18/10/14 20:44,384,call,2014-11,Three,mobile
18/10/14 21:04,4,call,2014-11,Three,mobile
18/10/14 21:06,1,sms,2014-11,Three,mobile
18/10/14 21:23,1,sms,2014-11,Vodafone,mobile
18/10/14 22:37,1,sms,2014-11,Three,mobile
19/10/14 06:58,34.429,data,2014-11,data,data
19/10/14 14:47,53,call,2014-11,Three,mobile
19/10/14 15:46,86,call,2014-11,Tesco,mobile
19/10/14 16:21,23,call,2014-11,Three,mobile
19/10/14 16:30,38,call,2014-11,Three,mobile
19/10/14 20:25,428,call,2014-11,Three,mobile
20/10/14 06:58,34.429,data,2014-11,data,data
20/10/14 09:43,69,call,2014-11,voicemail,voicemail
20/10/14 09:43,18,call,2014-11,voicemail,voicemail
20/10/14 13:55,3,call,2014-11,Vodafone,mobile
20/10/14 13:56,6,call,2014-11,landline,landline
20/10/14 18:14,5,call,2014-11,Tesco,mobile
20/10/14 18:24,131,call,2014-11,Vodafone,mobile
20/10/14 19:59,1,sms,2014-11,Vodafone,mobile
20/10/14 20:16,1,sms,2014-11,Vodafone,mobile
21/10/14 06:58,34.429,data,2014-11,data,data
21/10/14 16:17,550,call,2014-11,Three,mobile
